#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2025-11-13T06:01:55 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-11-13T06:01:55	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-order=I&-out.src=J/ApJS/234/18/table3&-source=J/ApJS/234/18/table3&-out=Name&-out=sma&-out=ell&-out=muFUV&-out=cumuFUV&-out=muNUV&-out=cumuNUV&-out=FN&-out=sma36&-out=mu36corr&-out=tmagcorr&-out=asmag36&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22340018
#Name: J/ApJS/234/18
#Title: GALEX/S4G surface brightness profiles. I. (Bouquin+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apjs/234/18	    IVOID of underlying data collection
#INFO	creator=Bouquin A.Y.K.	    First author or institution
#INFO	cites=bibcode:2018ApJS..234...18B	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/234/18	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22340018	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-07-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_234_18_table3:
#Name: J/ApJS/234/18/table3
#Title: Surface brightness data for the 1931 galaxies
#Column	Name	(a10)	Galaxy identifier using S^4^G nomenclature	[ucd=meta.id;meta.main]
#Column	sma	(I3)	[6/498] Semi-major axis steps in arcsec	[ucd=phys.angSize;src]
#Column	ell	(F6.3)	Ellipticity	[ucd=src.ellipticity]
#Column	muFUV	(F6.3)	[18.7/40]? GALEX FUV band AB magnitude surface brightness	[ucd=phot.mag.sb;em.UV.100-200nm]
#Column	cumuFUV	(F6.3)	[10/24.2]? Cumulative AB magnitude in FUV band	[ucd=phot.mag;em.UV]
#Column	muNUV	(F6.3)	[18.6/40.3]? GALEX NUV band AB magnitude surface brightness	[ucd=phot.mag.sb;em.UV.200-300nm]
#Column	cumuNUV	(F6.3)	[9.5/23]? Cumulative AB magnitude in NUV band	[ucd=phot.mag;em.UV]
#Column	FN	(F6.3)	[-9.3/10.5]? FUV-NUV color from muFUV-muNUV	[ucd=phot.mag.sb]
#Column	sma36	(I3)	[7/664] Semi-major axis steps in IRAC pixels; 0.75"/pix (1)	[ucd=phys.size.radius]
#Column	mu36corr	(F6.3)	[14/39]? 3.6um aperture-corrected surface brightness (1)	[ucd=phot.mag.sb;em.IR.3-4um]
#Column	tmagcorr	(F6.3)	[6/22]? 3.6um aperture-corrected AB magnitude inside aperture (1)	[ucd=phot.mag;em.IR.3-4um]
#Column	asmag36	(F6.3)	[6.3/17.2] 3.6um asymptotic AB magnitude	[ucd=phot.mag;em.IR.3-4um]
Name;sma;ell;muFUV;cumuFUV;muNUV;cumuNUV;FN;sma36;mu36corr;tmagcorr;asmag36
 ;arcsec; ;mag/arcsec2;mag;mag/arcsec2;mag;mag/arcsec2;pix;mag/arcsec2;mag;mag
----------;---;------;------;------;------;------;------;---;------;------;------
ESO013-016;  6; 0.333;22.847;18.147;22.851;18.005;-0.005;  8;21.019;15.957;13.132
ESO013-016; 12; 0.333;23.764;16.856;23.370;16.662; 0.394; 16;21.606;14.891;13.132
ESO013-016; 18; 0.333;24.074;16.431;23.786;16.146; 0.288; 24;21.958;14.399;13.132
ESO013-016; 24; 0.333;24.049;15.965;23.777;15.712; 0.272; 32;22.177;14.006;13.132
ESO013-016; 30; 0.333;24.338;15.589;24.038;15.329; 0.300; 40;22.552;13.721;13.132
ESO013-016; 36; 0.333;24.613;15.372;24.292;15.113; 0.322; 48;22.896;13.562;13.132
ESO013-016; 42; 0.333;24.734;15.189;24.590;14.934; 0.144; 56;23.140;13.436;13.132
ESO013-016; 48; 0.333;25.146;15.046;24.887;14.783; 0.259; 64;23.504;13.335;13.132
ESO013-016; 54; 0.333;25.650;14.944;25.573;14.694; 0.077; 72;23.916;13.262;13.132
ESO013-016; 60; 0.333;26.543;14.892;26.215;14.646; 0.328; 80;24.344;13.213;13.132
ESO013-016; 66; 0.333;27.453;14.867;26.684;14.617; 0.769; 87;24.812;13.178;13.132
ESO013-016; 72; 0.333;28.437;14.858;27.459;14.595; 0.978; 95;25.461;13.152;13.132
ESO013-016; 78; 0.333;28.806;14.850;28.217;14.586; 0.589;104;25.961;13.136;13.132
ESO013-016; 84; 0.333;29.011;14.844;28.359;14.581; 0.652;112;27.036;13.129;13.132
ESO013-016; 90; 0.333;27.660;14.832;30.718;14.574;-3.058;120;27.955;13.126;13.132
ESO013-016; 96; 0.333;      ;14.824;      ;14.576;      ;128;      ;13.125;13.132
ESO013-016;102; 0.333;28.248;14.821;      ;14.579;      ;136;      ;13.127;13.132
ESO013-016;108; 0.333;29.580;14.812;      ;14.579;      ;144;      ;13.129;13.132
ESO013-016;114; 0.333;28.640;14.811;      ;14.582;      ;152;      ;13.130;13.132
ESO013-016;120; 0.333;32.338;14.802;      ;14.584;      ;160;      ;13.131;13.132
ESO013-016;126; 0.333;30.756;14.801;      ;14.586;      ;168;28.235;13.132;13.132
ESO013-016;132; 0.333;29.988;14.803;      ;14.588;      ;176;29.769;13.132;13.132
ESO013-016;138; 0.333;29.002;14.792;      ;14.590;      ;184;      ;13.132;13.132
ESO026-001;  6; 0.053;23.488;17.749;23.468;17.600; 0.019;  7;21.407;15.606;13.392
ESO026-001; 12; 0.053;25.284;17.178;24.521;16.921; 0.764; 15;22.332;14.984;13.392
ESO026-001; 18; 0.053;24.369;16.578;24.086;16.364; 0.283; 23;22.476;14.602;13.392
ESO026-001; 24; 0.053;24.035;16.070;24.045;15.829;-0.010; 31;22.468;14.213;13.392
ESO026-001; 30; 0.053;24.227;15.572;24.114;15.420; 0.113; 39;22.920;13.932;13.392
ESO026-001; 36; 0.053;24.474;15.234;24.498;15.095;-0.024; 48;23.300;13.737;13.392
ESO026-001; 42; 0.053;24.963;14.993;24.911;14.878; 0.051; 56;23.743;13.614;13.392
ESO026-001; 48; 0.053;26.082;14.884;25.818;14.782; 0.263; 64;24.319;13.518;13.392
ESO026-001; 54; 0.053;26.604;14.838;26.681;14.725;-0.076; 71;25.065;13.468;13.392
ESO026-001; 60; 0.053;27.346;14.813;28.201;14.711;-0.855; 79;25.854;13.444;13.392
ESO026-001; 66; 0.053;29.219;14.805;      ;14.704;      ; 87;26.207;13.429;13.392
ESO026-001; 72; 0.053;      ;14.806;28.608;14.709;      ; 95;26.378;13.417;13.392
ESO026-001; 78; 0.053;      ;14.823;      ;14.704;      ;104;26.928;13.407;13.392
ESO026-001; 84; 0.053;30.236;14.827;27.443;14.708; 2.793;112;27.276;13.400;13.392
ESO026-001; 90; 0.053;      ;14.850;32.412;14.681;      ;119;27.498;13.397;13.392
ESO026-001; 96; 0.053;31.347;14.859;32.869;14.688;-1.522;127;28.254;13.393;13.392
ESO027-001;  6; 0.235;23.727;17.730;22.716;17.054; 1.011;  8;19.537;13.705;11.528
ESO027-001; 12; 0.235;24.011;17.184;23.391;16.348; 0.619; 16;20.388;13.118;11.528
ESO027-001; 18; 0.235;24.135;16.569;23.662;15.916; 0.473; 24;20.930;12.760;11.528
ESO027-001; 24; 0.235;24.110;16.213;23.881;15.554; 0.230; 32;21.156;12.483;11.528
ESO027-001; 30; 0.235;24.603;15.828;24.072;15.262; 0.531; 40;21.330;12.251;11.528
ESO027-001; 36; 0.235;24.499;15.529;23.883;14.960; 0.616; 48;21.624;12.059;11.528
ESO027-001; 42; 0.235;24.474;15.272;24.108;14.698; 0.366; 56;22.085;11.947;11.528
ESO027-001; 48; 0.235;24.906;15.049;24.250;14.485; 0.656; 64;22.307;11.863;11.528
