Planet,Mass (kg),Diameter (AU),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (AU),Perihelion (AU),Aphelion (AU),Semi-Major Axis (km),Orbital Period (days),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?
Mercury,3.3e+23,3.261410056954775e-05,5429,3.7,4.3,1407.6,4222.6,387037.594379343,307491.0076243485,466584.1811343375,57900000.0,88.0,47.4,7.0,0.206,0.034,167,0.0,0,No,Yes
Venus,4.87e+24,8.091024252793726e-05,5243,8.9,10.4,-5832.5,2802.0,723272.3266294458,718593.1156438579,727951.5376150337,108200000.0,224.7,35.0,3.4,0.007,177.4,464,92.0,0,No,No
Earth,5.969999999999999e+24,8.526859333165629e-05,5514,9.8,11.2,23.9,24.0,1000014.2334913595,983302.7656856884,1016725.7012970306,149600000.0,365.2,29.8,0.0,0.017,23.4,15,1.0,1,No,Yes
Moon,7.3e+22,2.3228940249882847e-05,3340,1.6,2.4,655.7,708.7,2566.881454951083,2426.505125383446,2713.9423716409888,384500.0,27.3,1.0,5.1,0.055,6.7,-20,0.0,0,No,No
Mars,6.42e+23,4.540171573444728e-05,3934,3.7,5.0,24.6,24.7,1524085.8638772056,1381704.1581728877,1666467.5695815235,228000000.0,687.0,24.1,1.8,0.094,25.2,-65,0.01,2,No,No
Jupiter,1.898e+27,0.0009557890050904314,1326,23.1,59.5,9.9,9.9,5203951.074685985,4950605.22275201,5457296.926619959,778500000.0,4331.0,13.1,1.3,0.049,3.1,-110,,95,Yes,Yes
Saturn,5.68e+26,0.0008057333933697493,687,9.0,35.5,10.7,10.7,9572328.759088414,9074995.477191642,10070330.499697413,1432050000.0,10747.0,9.7,2.5,0.052,26.7,-140,,274,Yes,Yes
Uranus,8.68e+25,0.0003417027245161184,1270,8.7,21.3,-17.2,17.2,19164711.279543635,18266971.22902298,20063119.788776513,2867050000.0,30589.0,6.8,0.8,0.047,97.8,-195,,28,Yes,Yes
Neptune,1.0199999999999999e+26,0.0003310742309917116,1638,11.0,23.5,16.1,16.1,30180910.857042033,29887457.48237445,30474364.231709618,4515000000.0,59800.0,5.4,1.8,0.01,28.3,-200,,16,Yes,Yes
Pluto,1.3e+22,1.588257900250983e-05,1850,0.7,1.3,-153.3,153.3,39481845.37896635,29658176.14408064,49304846.155139826,5906350000.0,90560.0,4.7,17.2,0.244,119.5,-225,1e-05,5,No,Unknown
